stage,bf16_s,w8a8_s,speedup
preprocess,0.0010648158301288884,0.0009351162783180674,1.1386988493496264
forward,3.453649456030689,19.812509171354275,0.1743166110945763
postprocess,0.00025562383234500885,0.00046879868023097515,0.5452742149765952
total,3.454969895693163,19.813913086312823,0.17437090193354124
