config,perplexity,delta_vs_bf16
bf16_baseline,9.551335334777832,0.0
smooth_a0.5_w8a8,9.614641189575195,0.06330585479736328
w8a8_no_smooth,9.632165908813477,0.08083057403564453
smooth_a0.85_w8a8,9.63620376586914,0.0848684310913086
